Informacje o Konfiguracji

ALGORYTM
D³ugoœæ DNA: 5000 Populacja Pocz¹tkowa: 500 Czêstotliwoœæ Mutacji: 100 Iloœæ Generacji: 2000 Minimalny Fitness: 0 Maksymalny Fitness: 1
ZAPYTANIA
Maksymalna Iloœæ Zapytañ w Windzie: 4 Iloœæ Zapytañ: 100 Minimalne Mo¿liwe Piêtro: 0 Maksymalne Mo¿liwe Piêtro19
LISTA ZAPYTAÑ
ID,Start Floor,End Floor
0,17,11
1,10,4
2,4,29
3,18,19
4,14,22
5,5,6
6,27,1
7,11,1
8,2,25
9,6,27
10,24,21
11,3,2
12,22,23
13,26,21
14,5,8
15,6,17
16,18,11
17,22,9
18,19,17
19,24,25
20,21,23
21,3,2
22,14,3
23,1,21
24,28,23
25,14,17
26,27,22
27,19,27
28,21,23
29,28,19
30,5,16
31,12,20
32,16,18
33,2,10
34,28,4
35,15,26
36,9,20
37,20,10
38,21,6
39,8,3
40,23,9
41,4,24
42,20,6
43,26,16
44,28,11
45,9,24
46,13,26
47,28,17
48,12,8
49,11,9
50,5,3
51,18,19
52,0,24
53,26,27
54,6,23
55,5,11
56,22,14
57,9,0
58,3,17
59,12,27
60,0,16
61,6,11
62,17,5
63,4,15
64,22,11
65,10,20
66,4,21
67,10,16
68,11,27
69,27,7
70,17,7
71,3,4
72,29,5
73,8,19
74,18,11
75,16,2
76,10,26
77,8,3
78,11,0
79,5,12
80,29,10
81,17,24
82,3,8
83,21,25
84,20,2
85,26,1
86,10,14
87,21,6
88,9,18
89,4,18
90,24,1
91,19,23
92,8,18
93,8,0
94,17,7
95,13,8
96,13,18
97,21,17
98,17,0
99,4,13
Aktualna Generacja: 0 Najlepszy Fitness: 0 Najlepsza Iloœæ Ruchów: 5000
Najlepszy Fitness Zawsze: 0 Najlepsza Iloœæ Ruchów Zawsze: 5000
